FID,port_id,data_src_c,port_coor_,the_geom
portlocations.106,GBFLE,2108,8,POINT (53.921691895 -3.00567626999998)
portlocations.107,IEDDK,2108,6,POINT (54.0076904300001 -6.38769531299994)
portlocations.108,GBHYM,2110,1,POINT (54.0328979490001 -2.92291259799993)
portlocations.109,GBWPT,2109,5,POINT (54.0979003910001 -6.25079345699993)
portlocations.110,GBBIF,2110,3,POINT (54.0993041990001 -3.23217773399995)
portlocations.111,GBWHV,2111,3,POINT (54.55090332 -3.59271240199996)
portlocations.112,GBMME,9998,1,POINT (54.617946439 -1.15883831999997)
portlocations.113,GBBEL,2110,1,POINT (54.6385460000001 -5.87452099999996)
portlocations.114,GBKPS,2109,8,POINT (54.720275879 -5.76538085899995)
portlocations.115,GBLAR,2110,1,POINT (54.8515014650001 -5.79669189499998)
portlocations.116,GBSTR,2109,1,POINT (54.9080810550001 -5.02502441399997)
portlocations.117,GBSUN,2110,3,POINT (54.917297363 -1.36132812499994)
portlocations.118,GBCYN,9998,1,POINT (54.967102051 -5.01788330099993)
portlocations.119,GBTYN,2110,1,POINT (54.9909057620001 -1.44598388699995)
portlocations.120,GBLDY,5106,5,POINT (54.9984741210001 -7.31860351599994)
portlocations.121,GBTRN,2110,1,POINT (55.546508789 -4.66857910199997)
portlocations.122,GBCYP,9998,1,POINT (55.867555628 -4.32117351199997)
portlocations.123,GBFOR,9998,1,POINT (56.0549125000001 -3.23824499999995)
portlocations.124,GBOBA,2109,5,POINT (56.4146728520001 -5.47430419899996)
portlocations.125,GBDUN,2109,6,POINT (56.465881348 -2.91949462899993)
portlocations.126,GBGSA,2109,6,POINT (56.5682983400001 -5.53240966799996)
portlocations.127,GBABD,2109,2,POINT (57.141479492 -2.07537841799996)
portlocations.128,GBPHD,5106,6,POINT (57.501098633 -1.77191162099996)
portlocations.129,GBCRN,5106,6,POINT (57.682495117 -4.03808593799994)
portlocations.130,GBKWL,2109,1,POINT (58.9883575000001 -2.96185099999997)
portlocations.131,GBLER,2109,6,POINT (60.1542968750001 -1.13970947299993)
portlocations.132,GBSUL,2110,1,POINT (60.4567640000001 -1.28177299999993)
portlocations.133,GBKLR,2109,8,POINT (54.720275879 -5.76538085899995)
portlocations.134,DESTR,2111,1,POINT (48.7741322840001 9.24771648900003)
portlocations.135,DEFRA,2111,4,POINT (50.1078628880001 8.70508172000007)
portlocations.136,DEHAU,2108,2,POINT (50.116148428 8.91922449100002)
portlocations.137,DEWLM,2107,1,POINT (51.5297119640001 6.70162410200004)
portlocations.138,DEMAG,2111,1,POINT (52.138681998 11.654741154)
portlocations.139,DEMID,2108,2,POINT (52.3054783650001 8.92236234100005)
portlocations.140,CYZYY,2108,8,POINT (34.730369501 33.3372765)
portlocations.141,TRANA,9998,8,POINT (36.068127921 32.8648575760001)
portlocations.142,TRKAS,2109,6,POINT (36.2 29.6333333330001)
portlocations.143,TRFIN,2109,6,POINT (36.283333333 30.15)
portlocations.144,TRTAS,2109,6,POINT (36.3166666670001 33.9)
portlocations.145,TRALA,2109,6,POINT (36.533333333 32.0000000000001)
portlocations.146,TRISK,2109,6,POINT (36.5948254460001 36.1890119710001)
portlocations.147,TRKMR,2109,8,POINT (36.596997086 30.584548264)
portlocations.148,TRFET,2109,6,POINT (36.650893313 29.1180584470001)
portlocations.149,TRDAT,2109,7,POINT (36.716666667 27.6833333330001)
portlocations.150,TRGCK,2109,6,POINT (36.749398774 28.930121532)
portlocations.151,TRMER,9998,8,POINT (36.788074432 34.6264469500001)
portlocations.152,TRBOT,2107,6,POINT (36.8212990060001 36.174017486)
portlocations.153,TRAYT,9998,6,POINT (36.8374601350001 30.604019352)
portlocations.154,TRMRM,2109,6,POINT (36.8500000000001 28.266666667)
portlocations.155,TRBXN,2109,6,POINT (37.033333333 27.4333333330001)
portlocations.156,TRGUL,2109,8,POINT (37.247837395 27.6019851360001)
portlocations.157,TRKUS,2109,6,POINT (37.8666666670001 27.266666667)
portlocations.158,GRARM,5107,7,POINT (38.186846931 20.482866088)
portlocations.159,TRCES,2109,5,POINT (38.3166666670001 26.3000000000001)
portlocations.160,TRIZM,2109,7,POINT (38.441337022 27.1511034660001)
portlocations.161,TRFOC,2107,7,POINT (38.666892164 26.750377864)
portlocations.162,TRALI,2109,6,POINT (38.832940299 26.945308142)
portlocations.163,TRDIK,2109,6,POINT (39.0666666670001 26.8833333330001)
portlocations.164,TRAYV,2109,6,POINT (39.315366033 26.6862254070001)
portlocations.165,GRMOL,9998,8,POINT (39.368991023 26.1667874710001)
portlocations.166,TREDO,9998,8,POINT (39.5666666670001 26.966666667)
portlocations.167,TRBZC,9998,8,POINT (39.8336104810001 26.066944161)
portlocations.168,TRCKZ,2109,8,POINT (40.15 26.4)
portlocations.169,TRGCA,2107,8,POINT (40.1833333330001 25.9166666670001)
portlocations.170,TRBDM,2107,6,POINT (40.3500000000001 27.966666667)
portlocations.171,TRMUD,2109,7,POINT (40.374140363 28.889084462)
portlocations.172,TRERK,2109,6,POINT (40.4 27.8000000000001)
portlocations.173,TRKRB,2109,6,POINT (40.403401968 27.311056879)
